"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","ITEM","Item Level Data","-4","","-4","-4","T","-4","-4","-4","-4","-4","","","Subject ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","VISCODE","ITEM","Item Level Data","-4","","-4","-4","N","-4","-4","-4","-4","-4","","","Visit","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_QuestionnaireNotAttempted","ITEM","Item Level Data","-4","ADAS","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = Not required at this timepoint","Will be 1 if the questionnaire was not attempted, was left blank or missing. Will be 0 if the questionnaire was completed. Will be NULL if the questionnaire was not required at a particular timepoint","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_Q1_T1_WL1_W1_butter","ITEM","Item Level Data","-4","ADAS: ADAS Q1, T1-T3 indicate Trial 1 to Trial 3 of the Word-recall task. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W10 followed by the word indicates the actual word and its position in the list.","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = N/A","0 indicates the word was not recalled correctly. 1 indicates the word was recalled. NULL indicates this wordlist/word were not used. The wordlist used (1,2 or 3) is dependant on the timepoint.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_Q1_T1_WL1_W2_arm","ITEM","Item Level Data","-4","ADAS: ADAS Q1, T1-T3 indicate Trial 1 to Trial 3 of the Word-recall task. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W10 followed by the word indicates the actual word and its position in the list.","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = N/A","0 indicates the word was not recalled correctly. 1 indicates the word was recalled. NULL indicates this wordlist/word were not used. The wordlist used (1,2 or 3) is dependant on the timepoint.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_Q1_T1_WL1_W3_shore","ITEM","Item Level Data","-4","ADAS: ADAS Q1, T1-T3 indicate Trial 1 to Trial 3 of the Word-recall task. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W10 followed by the word indicates the actual word and its position in the list.","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = N/A","0 indicates the word was not recalled correctly. 1 indicates the word was recalled. NULL indicates this wordlist/word were not used. The wordlist used (1,2 or 3) is dependant on the timepoint.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_Q1_T1_WL1_W4_letter","ITEM","Item Level Data","-4","ADAS: ADAS Q1, T1-T3 indicate Trial 1 to Trial 3 of the Word-recall task. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W10 followed by the word indicates the actual word and its position in the list.","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = N/A","0 indicates the word was not recalled correctly. 1 indicates the word was recalled. NULL indicates this wordlist/word were not used. The wordlist used (1,2 or 3) is dependant on the timepoint.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_Q1_T1_WL1_W5_queen","ITEM","Item Level Data","-4","ADAS: ADAS Q1, T1-T3 indicate Trial 1 to Trial 3 of the Word-recall task. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W10 followed by the word indicates the actual word and its position in the list.","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = N/A","0 indicates the word was not recalled correctly. 1 indicates the word was recalled. NULL indicates this wordlist/word were not used. The wordlist used (1,2 or 3) is dependant on the timepoint.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_Q1_T1_WL1_W6_cabin","ITEM","Item Level Data","-4","ADAS: ADAS Q1, T1-T3 indicate Trial 1 to Trial 3 of the Word-recall task. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W10 followed by the word indicates the actual word and its position in the list.","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = N/A","0 indicates the word was not recalled correctly. 1 indicates the word was recalled. NULL indicates this wordlist/word were not used. The wordlist used (1,2 or 3) is dependant on the timepoint.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_Q1_T1_WL1_W7_pole","ITEM","Item Level Data","-4","ADAS: ADAS Q1, T1-T3 indicate Trial 1 to Trial 3 of the Word-recall task. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W10 followed by the word indicates the actual word and its position in the list.","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = N/A","0 indicates the word was not recalled correctly. 1 indicates the word was recalled. NULL indicates this wordlist/word were not used. The wordlist used (1,2 or 3) is dependant on the timepoint.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_Q1_T1_WL1_W8_ticket","ITEM","Item Level Data","-4","ADAS: ADAS Q1, T1-T3 indicate Trial 1 to Trial 3 of the Word-recall task. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W10 followed by the word indicates the actual word and its position in the list.","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = N/A","0 indicates the word was not recalled correctly. 1 indicates the word was recalled. NULL indicates this wordlist/word were not used. The wordlist used (1,2 or 3) is dependant on the timepoint.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
"-4","ADAS_Q1_T1_WL1_W9_grass","ITEM","Item Level Data","-4","ADAS: ADAS Q1, T1-T3 indicate Trial 1 to Trial 3 of the Word-recall task. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W10 followed by the word indicates the actual word and its position in the list.","-4","-4","T","-4","-4","-4","-4","-4","","0 = No; 1 = Yes; NULL = N/A","0 indicates the word was not recalled correctly. 1 indicates the word was recalled. NULL indicates this wordlist/word were not used. The wordlist used (1,2 or 3) is dependant on the timepoint.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-09-28 14:26:05.0"
